,bbx_idx,frame_idx,detect,class,x,y,w,h,conf
0,0,0,True,Sugar bag,0.2291666716337204,0.6222222447395325,0.3816666603088379,0.5972222089767456,0.8235599994659424
1,1,0,True,Flour bag,0.800000011920929,0.7131944298744202,0.3916666805744171,0.5347222089767456,0.943324863910675
2,0,1,True,Sugar bag,0.2279166728258133,0.6333333253860474,0.37583333253860474,0.5944444537162781,0.834854781627655
3,1,1,True,Flour bag,0.7987499833106995,0.7159722447395325,0.39250001311302185,0.5347222089767456,0.951420783996582
4,0,2,True,Sugar bag,0.22499999403953552,0.6402778029441833,0.3733333349227905,0.5888888835906982,0.9204765558242798
5,1,2,True,Flour bag,0.7979166507720947,0.7277777791023254,0.38749998807907104,0.5222222208976746,0.9499251842498779
6,0,3,True,Sugar bag,0.22291666269302368,0.6451388597488403,0.3774999976158142,0.5930555462837219,0.9458707571029663
7,1,3,True,Flour bag,0.7950000166893005,0.7284722328186035,0.38999998569488525,0.5291666388511658,0.9575361013412476
8,0,4,True,Sugar bag,0.22041666507720947,0.6555555462837219,0.3774999976158142,0.5861111283302307,0.9545928239822388
9,1,4,True,Flour bag,0.793749988079071,0.7340278029441833,0.3891666531562805,0.5291666388511658,0.957547128200531
10,0,5,True,Flour bag,0.7933333516120911,0.7361111044883728,0.3866666555404663,0.5222222208976746,0.9532113671302795
11,1,5,True,Sugar bag,0.21916666626930237,0.6590277552604675,0.37833333015441895,0.5874999761581421,0.9572885632514954
12,0,6,True,Flour bag,0.7933333516120911,0.7409722208976746,0.3883333206176758,0.512499988079071,0.9522601962089539
13,1,6,True,Sugar bag,0.21916666626930237,0.6652777791023254,0.37833333015441895,0.5861111283302307,0.9581007361412048
14,0,7,True,Flour bag,0.7933333516120911,0.7458333373069763,0.3883333206176758,0.5083333253860474,0.9461632370948792
15,1,7,True,Sugar bag,0.2175000011920929,0.668749988079071,0.375,0.5847222208976746,0.9576000571250916
16,0,8,True,Flour bag,0.7958333492279053,0.7479166388511658,0.39500001072883606,0.5041666626930237,0.9438711404800415
